match_no,Bowler,team,over,run,wicket,No_ball,ECO
47,Aiden Markram,Sunrisers Hyderabad,3.0,24,1,0,8.0
47,T Natarajan,Sunrisers Hyderabad,4.0,30,2,0,7.5
47,Mayank Markande,Sunrisers Hyderabad,4.0,29,1,0,7.3
47,Harshit Rana,Kolkata Knight Riders,4.0,27,1,0,6.8
47,Vaibhav Arora,Kolkata Knight Riders,3.0,32,2,2,10.7
47,Shardul Thakur,Kolkata Knight Riders,3.0,23,2,0,7.7
47,Andre Russell,Kolkata Knight Riders,1.0,15,1,1,15.0
47,Anukul Roy,Kolkata Knight Riders,3.0,26,1,0,8.7
47,Sunil Narine,Kolkata Knight Riders,2.0,16,0,0,8.0
47,Varun Chakaravarthy,Kolkata Knight Riders,4.0,20,1,0,5.0
48,Mohammed Shami,Gujarat Titans,4.0,27,1,0,6.8
48,Hardik Pandya,Gujarat Titans,2.0,22,1,0,11.0
48,Rashid Khan,Gujarat Titans,4.0,14,3,0,3.5
48,Joshua Little,Gujarat Titans,4.0,24,1,0,6.0
48,Noor Ahmad,Gujarat Titans,3.0,25,2,0,8.3
48,Mohit Sharma,Gujarat Titans,0.5,5,0,0,10.0
48,Trent Boult,Rajasthan Royals,3.0,28,0,0,9.3
48,Sandeep Sharma,Rajasthan Royals,3.0,19,0,1,6.3
48,Adam Zampa,Rajasthan Royals,3.0,40,0,0,13.3
48,Yuzvendra Chahal,Rajasthan Royals,3.5,22,1,0,6.3
48,Ravichandran Ashwin,Rajasthan Royals,1.0,8,0,0,8.0
49,Deepak Chahar,Chennai Super Kings,3.0,18,2,0,6.0
49,Tushar Deshpande,Chennai Super Kings,4.0,26,2,0,6.5
49,Ravindra Jadeja,Chennai Super Kings,4.0,37,1,0,9.3
49,Moeen Ali,Chennai Super Kings,1.0,10,0,0,10.0
49,Maheesh Theekshana,Chennai Super Kings,4.0,28,0,0,7.0
49,Matheesha Pathirana,Chennai Super Kings,4.0,15,3,0,3.8
49,Cameron Green,Mumbai Indians,1.0,10,0,1,10.0
49,Jofra Archer,Mumbai Indians,4.0,24,0,0,6.0
49,Arshad Khan,Mumbai Indians,1.4,28,0,0,20.0
49,Piyush Chawla,Mumbai Indians,4.0,25,2,0,6.3
49,Raghav Goyal,Mumbai Indians,4.0,33,0,0,8.3
49,Tristan Stubbs,Mumbai Indians,2.0,14,1,0,7.0
49,Akash Madhwal,Mumbai Indians,1.0,4,1,0,4.0
50,Mohammed Siraj,Royal Challengers Bangalore,2.0,28,0,0,14.0
50,Glenn Maxwell,Royal Challengers Bangalore,1.4,14,0,0,10.0
50,Josh Hazlewood,Royal Challengers Bangalore,3.0,29,1,1,9.7
50,Wanindu Hasaranga,Royal Challengers Bangalore,4.0,32,0,0,8.0
50,Karn Sharma,Royal Challengers Bangalore,3.0,33,1,0,11.0
50,Mahipal Lomror,Royal Challengers Bangalore,1.0,16,0,0,16.0
50,Harshal Patel,Royal Challengers Bangalore,2.0,32,1,0,16.0
