match_no,Batsman,team,Run,Ball,4s,6s,out_by
12,Devon Conway,Chennai Super Kings,0,4,0,0,Jason Behrendorff
12,Ruturaj Gaikwad,Chennai Super Kings,40,36,2,1,Not Out
12,Ajinkya Rahane,Chennai Super Kings,61,27,7,3,Piyush Chawla
12,Shivam Dube,Chennai Super Kings,28,26,2,1,Kumar Kartikeya
12,Ambati Rayudu,Chennai Super Kings,20,16,3,0,Not Out
13,Wriddhiman Saha,Gujarat Titans,17,17,3,0,Sunil Narine
13,Shubman Gill,Gujarat Titans,39,31,5,0,Sunil Narine
13,Sai Sudharsan,Gujarat Titans,53,38,3,2,Sunil Narine
13,Abhinav Manohar,Gujarat Titans,14,8,3,0,Suyash Sharma
13,Vijay Shankar,Gujarat Titans,63,24,4,5,Not Out
13,David Miller,Gujarat Titans,2,3,0,0,Not Out
13,Rahmanullah Gurbaz,Kolkata Knight Riders,15,12,1,1,Mohammed Shami
13,N Jagadeesan,Kolkata Knight Riders,6,8,1,0,Joshua Little
13,Venkatesh Iyer,Kolkata Knight Riders,83,40,8,5,Alzarri Joseph
13,Nitish Rana,Kolkata Knight Riders,45,29,4,3,Alzarri Joseph
13,Rinku Singh,Kolkata Knight Riders,48,21,1,6,Not Out
13,Andre Russell,Kolkata Knight Riders,1,2,0,0,Rashid Khan
13,Sunil Narine,Kolkata Knight Riders,0,1,0,0,Rashid Khan
13,Shardul Thakur,Kolkata Knight Riders,0,1,0,0,Rashid Khan
13,Umesh Yadav,Kolkata Knight Riders,5,6,0,0,Not Out
14,Prabhsimran Singh,Punjab Kings,0,1,0,0,Bhuvneshwar Kumar
14,Shikhar Dhawan,Punjab Kings,99,66,12,5,Not Out
14,Matthew Short,Punjab Kings,1,3,0,0,Marco Jansen
14,Jitesh Sharma,Punjab Kings,4,9,1,0,Marco Jansen
14,Sam Curran,Punjab Kings,22,15,3,1,Mayank Markande
14,Sikandar Raza,Punjab Kings,5,6,0,0,Umran Malik
14,Shahrukh Khan,Punjab Kings,4,3,1,0,Mayank Markande
14,Harpreet Brar,Punjab Kings,1,2,0,0,Umran Malik
14,Rahul Chahar,Punjab Kings,0,8,0,0,Mayank Markande
14,Nathan Ellis,Punjab Kings,0,5,0,0,Mayank Markande
14,Mohit Rathee,Punjab Kings,1,2,0,0,Not Out
14,Harry Brook,Sunrisers Hyderabad,13,14,3,0,Arshdeep Singh
14,Mayank Agarwal,Sunrisers Hyderabad,21,20,3,0,Rahul Chahar
14,Rahul Tripathi,Sunrisers Hyderabad,74,48,10,3,Not Out
14,Aiden Markram,Sunrisers Hyderabad,37,21,6,0,Not Out
15,Virat Kohli,Royal Challengers Bangalore,61,44,4,4,Amit Mishra
15,Faf du Plessis,Royal Challengers Bangalore,79,46,5,5,Not Out
15,Glenn Maxwell,Royal Challengers Bangalore,59,29,3,6,Mark Wood
15,Dinesh Karthik,Royal Challengers Bangalore,1,1,0,0,Not Out
15,Kyle Mayers,Lucknow Super Giants,0,3,0,0,Mohammed Siraj
15,KL Rahul,Lucknow Super Giants,18,20,1,0,Mohammed Siraj
15,Deepak Hooda,Lucknow Super Giants,9,10,1,0,Wayne Parnell
15,Krunal Pandya,Lucknow Super Giants,0,2,0,0,Wayne Parnell
15,Marcus Stoinis,Lucknow Super Giants,65,30,6,5,Karn Sharma
15,Nicholas Pooran,Lucknow Super Giants,62,19,4,7,Mohammed Siraj
15,Ayush Badoni,Lucknow Super Giants,30,24,4,0,Wayne Parnell
15,Jaydev Unadkat,Lucknow Super Giants,9,7,1,0,Harshal Patel
15,Mark Wood,Lucknow Super Giants,1,2,0,0,Harshal Patel
15,Ravi Bishnoi,Lucknow Super Giants,3,2,0,0,Not Out
15,Avesh Khan,Lucknow Super Giants,0,1,0,0,Not Out
16,Rohit Sharma,Mumbai Indians,65,45,6,4,Mustafizur Rahman
16,Ishan Kishan,Mumbai Indians,31,26,6,0,Run Out
16,Tilak Varma,Mumbai Indians,41,29,1,4,Mukesh Kumar
16,Suryakumar Yadav,Mumbai Indians,0,1,0,0,Mukesh Kumar
16,Tim David,Mumbai Indians,13,11,0,1,Not Out
16,Cameron Green,Mumbai Indians,17,8,1,1,Not Out
16,David Warner,Delhi Capitals,51,47,6,0,Jason Behrendorff
16,Prithvi Shaw,Delhi Capitals,15,10,3,0,Hrithik Shokeen
16,Manish Pandey,Delhi Capitals,26,18,5,0,Piyush Chawla
16,Yash Dhull,Delhi Capitals,2,4,0,0,Riley Meredith
16,Rovman Powell,Delhi Capitals,4,4,1,0,Piyush Chawla
16,Lalit Yadav,Delhi Capitals,2,4,0,0,Piyush Chawla
16,Axar Patel,Delhi Capitals,54,25,4,5,Jason Behrendorff
16,Abishek Porel,Delhi Capitals,1,3,0,0,Jason Behrendorff
16,Kuldeep Yadav,Delhi Capitals,0,1,0,0,Not Out
16,Anrich Nortje,Delhi Capitals,5,3,1,0,Riley Meredith
16,Mustafizur Rahman,Delhi Capitals,1,1,0,0,Not Out
17,Yashasvi Jaiswal,Rajasthan Royals,10,8,2,0,Tushar Deshpande
17,Jos Buttler,Rajasthan Royals,52,36,1,3,Moeen Ali
17,Devdutt Padikkal,Rajasthan Royals,38,26,5,0,Ravindra Jadeja
17,Sanju Samson,Rajasthan Royals,0,2,0,0,Ravindra Jadeja
17,Ravichandran Ashwin,Rajasthan Royals,30,22,1,2,Akash Singh
17,Shimron Hetmyer,Rajasthan Royals,30,18,2,2,Not Out
17,Dhruv Jurel,Rajasthan Royals,4,6,0,0,Akash Singh
17,Jason Holder,Rajasthan Royals,0,1,0,0,Tushar Deshpande
17,Adam Zampa,Rajasthan Royals,1,1,0,0,Run Out
17,Ruturaj Gaikwad,Chennai Super Kings,8,10,1,0,Sandeep Sharma
17,Devon Conway,Chennai Super Kings,50,38,6,0,Yuzvendra Chahal
17,Ajinkya Rahane,Chennai Super Kings,31,19,2,1,Ravichandran Ashwin
17,Shivam Dube,Chennai Super Kings,8,9,1,0,Ravichandran Ashwin
17,Moeen Ali,Chennai Super Kings,7,10,0,0,Adam Zampa
17,Ambati Rayudu,Chennai Super Kings,1,2,0,0,Yuzvendra Chahal
17,Ravindra Jadeja,Chennai Super Kings,25,15,1,2,Not Out
17,MS Dhoni,Chennai Super Kings,32,17,1,3,Not Out
18,Prabhsimran Singh,Punjab Kings,0,2,0,0,Mohammed Shami
18,Shikhar Dhawan,Punjab Kings,8,8,2,0,Joshua Little
18,Matthew Short,Punjab Kings,36,24,6,1,Rashid Khan
18,Bhanuka Rajapaksa,Punjab Kings,20,26,1,0,Alzarri Joseph
18,Jitesh Sharma,Punjab Kings,25,23,5,0,Mohit Sharma
18,Sam Curran,Punjab Kings,22,22,1,1,Mohit Sharma
18,Shahrukh Khan,Punjab Kings,22,9,1,2,Run Out
18,Harpreet Brar,Punjab Kings,8,5,0,1,Not Out
18,Rishi Dhawan,Punjab Kings,1,1,0,0,Run Out
18,Wriddhiman Saha,Gujarat Titans,30,19,5,0,Kagiso Rabada
18,Shubman Gill,Gujarat Titans,67,49,7,1,Sam Curran
18,Sai Sudharsan,Gujarat Titans,19,20,2,0,Arshdeep Singh
18,Hardik Pandya,Gujarat Titans,8,11,1,0,Harpreet Brar
18,David Miller,Gujarat Titans,17,18,1,0,Not Out
18,Rahul Tewatia,Gujarat Titans,5,2,1,0,Not Out
19,Harry Brook,Sunrisers Hyderabad,100,55,12,3,Not Out
19,Mayank Agarwal,Sunrisers Hyderabad,9,13,0,0,Andre Russell
19,Rahul Tripathi,Sunrisers Hyderabad,9,4,2,0,Andre Russell
19,Aiden Markram,Sunrisers Hyderabad,50,26,2,5,Varun Chakaravarthy
19,Abhishek Sharma,Sunrisers Hyderabad,32,17,3,2,Andre Russell
19,Heinrich Klaasen,Sunrisers Hyderabad,16,6,2,1,Not Out
19,Rahmanullah Gurbaz,Kolkata Knight Riders,0,3,0,0,Bhuvneshwar Kumar
19,N Jagadeesan,Kolkata Knight Riders,36,21,5,1,Mayank Markande
19,Venkatesh Iyer,Kolkata Knight Riders,10,11,2,0,Marco Jansen
19,Sunil Narine,Kolkata Knight Riders,0,1,0,0,Marco Jansen
19,Nitish Rana,Kolkata Knight Riders,75,41,5,6,T Natarajan
19,Andre Russell,Kolkata Knight Riders,3,6,0,0,Mayank Markande
19,Rinku Singh,Kolkata Knight Riders,58,31,4,4,Not Out
19,Shardul Thakur,Kolkata Knight Riders,12,7,2,0,Umran Malik
19,Umesh Yadav,Kolkata Knight Riders,1,1,0,0,Not Out
20,Virat Kohli,Royal Challengers Bangalore,50,34,6,1,Lalit Yadav
20,Faf du Plessis,Royal Challengers Bangalore,22,16,3,1,Mitchell Marsh
20,Mahipal Lomror,Royal Challengers Bangalore,26,18,0,2,Mitchell Marsh
20,Glenn Maxwell,Royal Challengers Bangalore,24,14,0,3,Kuldeep Yadav
20,Harshal Patel,Royal Challengers Bangalore,6,4,0,1,Axar Patel
20,Shahbaz Ahmed,Royal Challengers Bangalore,20,12,3,0,Not Out
20,Dinesh Karthik,Royal Challengers Bangalore,0,1,0,0,Kuldeep Yadav
20,Anuj Rawat,Royal Challengers Bangalore,15,22,1,0,Not Out
20,David Warner,Delhi Capitals,19,13,4,0,Vijaykumar Vyshak
